group,value
G5,7.433307594798897
G5,10.346627699040114
G5,12.632523474003877
G5,13.525686927062697
G5,12.397355772307854
G5,12.108396027043177
G5,13.12797601714383
G5,11.493657355283487
G5,14.824691049461507
G5,12.35673995571224
G5,12.70541172593694
G5,13.29791757970979
G5,9.462794783269253
G5,10.297855496760578
G5,15.668589873695558
G5,12.804740856866351
G5,11.321721411323571
G5,12.81956046914759
G5,10.84410663585228
G5,12.668559092717507
G5,10.401909468023861
G5,12.662445161613988
G5,8.213513874434378
G5,15.194207504797637
G5,10.768901105527227
G5,8.205021127211552
G5,11.462779932991072
G5,11.109609132676296
