marker,value,facet
MAP2,21.75657717282048,dorsal
MAP2,28.024480745746473,dorsal
MAP2,19.673976313348263,dorsal
MAP2,16.333117785047975,dorsal
MAP2,13.734644326628443,dorsal
MAP2,21.078552474247598,dorsal
MAP2,20.414843453149462,dorsal
MAP2,23.192909081186457,dorsal
MAP2,19.91089933763133,dorsal
MAP2,19.84612691626274,dorsal
NKX2-1,41.75407913468128,ventral
NKX2-1,42.661081024334194,ventral
NKX2-1,45.72102017842841,ventral
NKX2-1,43.28841272753188,ventral
NKX2-1,45.45198833774628,ventral
NKX2-1,53.555342400149655,ventral
NKX2-1,47.156031678586245,ventral
NKX2-1,37.90759569554148,ventral
NKX2-1,52.80088313525898,ventral
NKX2-1,46.56514666494841,ventral
NKX2-1,40.76364021097057,ventral
NKX2-1,49.081720309586146,ventral
NKX2-1,45.07945024909427,ventral
NKX2-1,42.231516601342186,ventral
NKX2-1,42.149209835548724,ventral
NKX2-1,40.529556943866645,ventral
NKX2-1,45.21653542795428,ventral
NKX2-1,49.80967512187305,ventral
NKX2-1,43.5372655553713,ventral
NKX2-1,46.893708562753595,ventral
NKX2-1,53.44040724198875,ventral
NKX2-1,39.53434215159068,ventral
NKX2-1,46.15885045765571,ventral
NKX2-1,43.621033829166564,ventral
NKX2-1,40.233347550774695,ventral
OLIG2,19.38368760253531,ventral
OLIG2,23.93121685575587,ventral
OLIG2,25.95238535040076,ventral
OLIG2,21.607845806656357,ventral
OLIG2,24.244757449617715,ventral
OLIG2,27.249938944956195,ventral
OLIG2,25.334525611130214,ventral
OLIG2,27.909015853834017,ventral
OLIG2,26.07628023667917,ventral
OLIG2,26.19602554056319,ventral
OLIG2,32.21985329223817,ventral
OLIG2,26.80427343161655,ventral
OLIG2,24.58262009560024,ventral
OLIG2,27.194747115488994,ventral
OLIG2,19.863943460213054,ventral
OLIG2,22.480328464076084,ventral
OLIG2,27.569493843875712,ventral
OLIG2,26.838540150422478,ventral
OLIG2,30.96762760874077,ventral
OLIG2,24.047128630134072,ventral
OLIG2,17.41952494310797,ventral
OLIG2,32.76261118894293,ventral
OLIG2,28.918017647514375,ventral
OLIG2,19.23568154878395,ventral
OLIG2,30.191206514857875,ventral
DLX2,43.14581259450588,ventral
DLX2,34.8373205354281,ventral
DLX2,41.10840735359674,ventral
DLX2,40.70993274702805,ventral
DLX2,50.15881672145009,ventral
DLX2,39.43569087061214,ventral
DLX2,41.85872196829284,ventral
DLX2,41.75457636919583,ventral
DLX2,41.294622566602314,ventral
DLX2,38.886666725353216,ventral
DLX2,43.985891090615546,ventral
DLX2,47.845620908860994,ventral
DLX2,45.80789943027288,ventral
DLX2,38.8262539777331,ventral
DLX2,37.825829092772395,ventral
DLX2,43.53538099111922,ventral
DLX2,39.82038926369304,ventral
DLX2,40.164254580178145,ventral
DLX2,35.44137439521926,ventral
DLX2,51.77721221214984,ventral
DLX2,47.124786186434,ventral
DLX2,38.617417006418606,ventral
DLX2,47.08694620057546,ventral
DLX2,49.041191976210804,ventral
DLX2,32.24700992645513,ventral
GAD67,43.52974846496081,ventral
GAD67,44.254120518434625,ventral
GAD67,48.91714511654481,ventral
GAD67,45.45340559964632,ventral
GAD67,44.96305898866456,ventral
GAD67,45.737328749175305,ventral
GAD67,54.33996568528901,ventral
GAD67,55.71991211400555,ventral
GAD67,43.638281033438545,ventral
GAD67,41.83190203037305,ventral
GAD67,58.11648916324086,ventral
GAD67,41.59114915063268,ventral
GAD67,43.41969091948509,ventral
GAD67,46.164616792069324,ventral
GAD67,48.17460809865355,ventral
GAD67,50.63065997247015,ventral
GAD67,47.75939749751563,ventral
GAD67,42.07427617737164,ventral
GAD67,48.278720468573695,ventral
GAD67,47.1246291093305,ventral
GAD67,54.44613546604379,ventral
GAD67,45.93250090829926,ventral
GAD67,39.98362195037245,ventral
GAD67,41.29741038527217,ventral
GAD67,52.52568876528923,ventral
GAD65,19.569409568147226,ventral
GAD65,12.529902954614979,ventral
GAD65,19.386851325297446,ventral
GAD65,22.00006794924082,ventral
GAD65,27.349738053418164,ventral
GAD65,17.434893380789077,ventral
GAD65,25.000074966559342,ventral
GAD65,25.578845948207274,ventral
GAD65,18.85275261254347,ventral
GAD65,21.155846326064637,ventral
GAD65,29.96252606379066,ventral
GAD65,29.742181360717698,ventral
GAD65,25.849849022058514,ventral
GAD65,23.49375861780583,ventral
GAD65,27.122393294334408,ventral
GAD65,21.36695221473126,ventral
GAD65,21.57208120435694,ventral
GAD65,18.12837937212708,ventral
GAD65,22.025035231009326,ventral
GAD65,21.63092518788978,ventral
GAD65,34.48134250316215,ventral
GAD65,21.132205753988035,ventral
GAD65,27.71868095506047,ventral
GAD65,27.942237734770014,ventral
GAD65,21.160845841382596,ventral
